content,option1,option2,option3,option4,subcategory,staticId,category
Yield of a stock is ,Related to its dividends,Related to its earnings,The rate of increase of its price,Applicable only to farming stocks,2,43,Definition
The liquidity of an asset is ,How easy it is to turn it into cash ,Proportional to its share price,None of the above,All the above,2,44,Definition
To be highly leveraged is ,To carry more debt than equity,To use hedging strategies,To be well diversified,To carry more equity than debt,2,45,Finance
Hedging is ,A trading strategy , A boardroom strategy,Usually a bad strategy, Similar to cottaging,2,46,Trading
What is a warrant ?,A right to buy or sell shares at a fixed price,A share in a company,A police matter,A right to buy or sell shares at a variable price,2,47,Warrants
Which of these are true about warrants?,All of the above ,New shares are associated with warrants,Warrants are used for fundraising,A warrant is issued by a company,2,48,Warrants
What are Calls and Puts?,Types of option or warrant,Types of shareholder meeting,Types of market orders,None of the above,2,49,Definition
What is a Call Option?,A right to buy at a specific price ,A shareholder call for cash,A right to sell at a specific price,An obligation to buy at a specific price,2,50,Definition
What is a Put Option?,A right to sell at a specific price,An obligation to sell at a specific price,A right to buy at a specific price,A shareholder obligation,2,51,Definition
What is meant by strike price of an option?,The fixed price at which you can buy or sell the underlying option,The current market value of the option,The price that you buy the option at,The price that you can sell the option for,2,52,Definition
Americans and Europeans are,Types of options,Types of shareholdings,Tactical investors,Strategic investors,2,53,Definition
A day trader,Tries to make money quickly intraday,Only works during daylight hours,Requires regulatory permission,Requires exchange approval,2,54,Trading
A stop loss order is used for,Limiting downside,Limiting gain,Speculating,Hedging,2,55,Trading
An earnings call is,A shareholder and management meeting,An in the money option,An out of the money option,A directorsÌ¢åÛåª meeting,2,56,Definition
Economic efficiency is,All of the above,A theoretical optimal state,A subjective notion,Unattainable,2,57,Finance
Having equity in a company means,Owning its stock,Believing in its ethical practices,Being one of its employees,Having the right to own its stock,2,58,Finance
Eurodollars are,All of the above,Not regulated by the Federal Reserve Board,Held mostly in Europe,USD deposits outside of the USA,2,59,Definition
What is a dark pool?,Institutional orders not available to the public,Illiquid stocks,Illegal transactions,Undeclared operating income,2,60,Definition
A death cross is,All of the above,A moving average cross over,Reinforced by high volume,A technical signal,2,61,Trading
What is a Eurobond?,A bond issued in a currency different to the currency of the issuing country,A bond denominated in Euros,A bond issued by a European country,None of the above,2,62,Definition
Event risk is,The possibility that an unforeseen event will negatively affect a company,Impossible to mitigate against,Possible to completely insure against using derivatives,Only associated with debt instruments,2,63,Finance
An ex-dividend stock,All of the above,Usually trades lower in price after the ex-dividend date,Is a classification of trading shares,"Entitles the owner on the ex-date to receive the dividend, even if he then sells",2,64,Definition
What is an exotic option?,An option with an unusual underlying asset or payoff curve,An option on an emerging market asset,A non-standard trading strategy or market order,All of the above,2,65,Options
An option is,A contract giving the buyer the right to buy or sell an underlying asset,A contract giving the seller the right to buy or sell an underlying asset,Not possible to buy or sell on public stock exchanges,Only available on equity underlying assets,2,66,Options
Execution of an order by a broker,All of the above,May be transacted in many different ways,Is required by law to be accomplished with the best possible price,Is only completed when the order is filled in full,2,67,Trading
An exchange traded option is also known as,A listed option,An automated option,A call option,A put option,2,68,Definition
An expected return,Would be used to estimate an investment's average net outcome,Refers to the return of stock during a short sell,Is the amount of profit a company expects to pay out in dividends,None of the above,2,69,Investment
The face value of a bond,All of the above,Will be paid by the bond issuer at the maturity date,Does not change after issuance,May be different to the bond's market value,2,70,Fixed Income
What is a falling knife?,An asset that dropped significantly in price in a short period of time ,A bearish technical signal,A bullish technical signal,None of the above,2,71,Definition
When was the Federal Reserve Bank founded?,1913,1923,1903,1907,2,72,Events
An At-the-money option has its,current price equal to strike price,current price greater than strike price,current price not equal to strike price,current price less than strike price,2,73,Options
"In general, if interest rates go down, then bond prices",Go down,Go up,Are not affected,None of the above,2,74,Fixed Income
The Efficient Market Hypothesis suggests...,That technical analysis is a waste of time,That skillful traders will be rewarded,That past prices indicate future prices,You should trade with the most cost efficient broker,3,75,Finance
"Who said ""nothing is certain, except death and taxes""",Benjamin Franklin,Henry Ford,Adam Smith,John D. Rockefeller,3,76,Quotes
"Who said ""All money is a matter of belief""",Adam Smith,John Locke,Benjamin Franklin,George Soros,3,77,Quotes
"Who said ""Derivatives are financial weapons of mass destruction""",Warren Buffett,George Soros,Alan Greenspan,John Maynard Keynes,3,78,Quotes
"Who said ""The avoidance of taxes is the only intellectual pursuit that carries any reward""",John Maynard Keynes,Henry Ford,Adam Smith,Hillary Clinton,3,79,Quotes
"Who said ""The individual investor should act consistently as an investor and not as a speculator""",Ben Graham,Warren Buffet,Jim Cramer,Adam Smith,3,80,Quotes
"Who said ""In investing, what is comfortable is rarely profitable""",Robert Arnott,George Soros,Henry Ford,John D. Rockefeller,3,81,Quotes
"Who said ""The way to make money is to buy when blood is running in the streets""",John D. Rockefeller,John Locke,Henry Ford,Benjamin Franklin,3,82,Quotes
"When did John Maynard Keynes write ""The General Theory of Employment, Interest and Money""",1936,1946,1920,1910,3,83,Events
When was the Tulip Mania Bubble?,1637,1737,1837,1937,3,84,Events
When was the BlackFridaymarket crash?,1987,1869,1976,2001,3,85,Events
When was the BlackMondaymarket crash?,1978,1987,1936,1929,3,86,Events
When was the Asian Financial Crisis?,1997,2001,1994,1994,3,87,Events
"A risky common stock would have a ""beta""that is",greater than one,equal to zero,equal to one,less than one,3,88,Finance
Which of the following least affects the price of an option?,Cash flow,interest rate,Volatility,Stock price,3,89,Options
Which of the following is the safest investment?,U.S. Treasury bond,Call option,Corporate bonds,Preferred Stock,3,90,Investment
American Depository Receipts(ARDs) are,Foreign stocks traded on the US exchanges,American stovks traded in foreign market,US banks deposits,Stock purchase receipts,2,91,Definition
Beta is a measure of a stock's,Volatility,Profit,Volume,Loss,3,92,Definition
What's the nickname for the New York Stock Exchange,Big Board,Primary Market,Big Apple,Wall Street,3,93,Market
Margin Account allows customers to buy stocks with money borrowed from a,broker,friend,corporation,none of the above,3,94,Finance
Corporate Buyback refers to a firm's repurchase of,it's own securities,corporate debt,competitor's sahres,capital assets,2,95,Finance
A Day Order will automatically get canceled if not filled ,same day before close of trading,next business day,Sameday before 12pm,Within 30 min from market open ,1,96,Trading
A Dividend in a stock is a payment from ,profits distributed to shareholders,money collected from investors,corporate restructiring,tax benefit,1,97,Finance
A Stock Split results in,Change in outstanding shares without change in asset,Change in company asset,Legal name change,Splitting of the company in two,1,98,Finance
An inside spread of a stock is the difference between the ,best bid and offerering price,current and previous day close,high and low of the day,52 week high and low,1,99,Trading
Stock Volatility  is a measure of ,variation of price over a period of time,variation of volume traded ,attrition of board members,regularity in financial reporting,1,100,Trading
Float of a stock is the number of shares actually ,available to trade,available to borrow,open at pre-open auction,available to trade after close,2,101,Trading
